author_names;title;publicationName;volume;issueIdentifier;pageRange;year;coverDate;doi;author_ids;author_count;citedby_count;type
"Dias, Andreia F.F.;Portugal, Inês;Aniceto, José P.S.;Silva, Carlos M.";Machine Learning model for the prediction of self-diffusion coefficients in liquids, compressed gases and supercritical fluids;Chemical Engineering Journal;495;;;2024;2024-09-01;10.1016/j.cej.2024.153274;"59184773400;57226220287;54987869500;57195637544";4;1;Article
"Aniceto, José P.S.;Zêzere, Bruno;Silva, Carlos M.";Prediction of diffusion coefficients in aqueous systems by machine learning models;Journal of Molecular Liquids;405;;;2024;2024-07-01;10.1016/j.molliq.2024.125009;"54987869500;57196375201;57195637544";3;2;Article
"Evtuguin, Dmitry;Aniceto, José P.S.;Marques, Rita;Portugal, Inês;Silva, Carlos M.;Serafim, Luísa S.;Xavier, Ana M.R.B.";Obtaining Value from Wine Wastes: Paving the Way for Sustainable Development;Fermentation;10;1;;2024;2024-01-01;10.3390/fermentation10010024;"7004261144;54987869500;58844432200;57226220287;57195637544;6603046030;7102042412";7;1;Review
"Aniceto, José P.S.;Rodrigues, Vítor H.;Portugal, Inês;Silva, Carlos M.";Valorization of tomato residues by supercritical fluid extraction;Processes;10;1;;2022;2022-01-01;10.3390/pr10010028;"54987869500;57195678264;57226220287;57195637544";4;18;Review
"Azenha, Ivo S.;Aniceto, José P.S.;Ribeiro, Diogo P.;Mendes, Adélio;Silva, Carlos M.";Reversed-phase chromatographic separation and downstream precipitation of lupane- and oleanane-type triterpenoids: Experiments and modeling based on the method of moments;Separation and Purification Technology;260;;;2021;2021-04-01;10.1016/j.seppur.2020.118208;"57186587600;54987869500;57221108223;7102443929;57195637544";5;1;Article
"Aniceto, José P.S.;Zêzere, Bruno;Silva, Carlos M.";Machine learning models for the prediction of diffusivities in supercritical CO<inf>2</inf> systems;Journal of Molecular Liquids;326;;;2021;2021-03-15;10.1016/j.molliq.2021.115281;"54987869500;57196375201;57195637544";3;23;Article
"Aniceto, José P.S.;Zêzere, Bruno;Silva, Carlos M.";Predictive models for the binary diffusion coefficient at infinite dilution in polar and nonpolar fluids;Materials;14;3;1-33;2021;2021-02-01;10.3390/ma14030542;"54987869500;57196375201;57195637544";3;15;Article
"Azenha, Ivo S.;Aniceto, José P.S.;Santos, Cristiana A.;Mendes, Adélio;Silva, Carlos M.";Enhanced separation of bioactive triterpenic acids with a triacontylsilyl silica gel adsorbent: From impulse and breakthrough experiments to the design of a simulated moving bed unit;Separation and Purification Technology;248;;;2020;2020-10-01;10.1016/j.seppur.2020.116991;"57186587600;54987869500;57216746301;7102443929;57195637544";5;7;Article
"Azenha, I. S.;Aniceto, J. P.S.;Sequeira, S. P.;Mendes, A.;Silva, C. M.";Chromatographic separation of betulinic and oleanolic acids;Separation and Purification Technology;235;;;2020;2020-03-18;10.1016/j.seppur.2019.116129;"57186587600;54987869500;23028953300;7102443929;57195637544";5;7;Article
"Aniceto, J. P.S.;Azenha, I. S.;Domingues, F. M.J.;Mendes, A.;Silva, C. M.";Design and optimization of a simulated moving bed unit for the separation of betulinic, oleanolic and ursolic acids mixtures: Experimental and modeling studies;Separation and Purification Technology;192;;401-411;2018;2018-02-09;10.1016/j.seppur.2017.10.016;"54987869500;57186587600;7004167410;7102443929;57195637544";5;23;Article
"Aniceto, José P.S.;Cardoso, Simão P.;Silva, Carlos M.";General optimization strategy of simulated moving bed units through design of experiments and response surface methodologies;Computers and Chemical Engineering;90;;161-170;2016;2016-07-12;10.1016/j.compchemeng.2016.04.028;"54987869500;36455487500;57195637544";3;29;Article
"Lito, P. F.;Aniceto, J. P.S.;Silva, C. M.";Maxwell–Stefan based modelling of ion exchange systems containing common species (Cd<sup>2+</sup>, Na<sup>+</sup>) and distinct sorbents (ETS-4, ETS-10);International Journal of Environmental Science and Technology;12;1;183-192;2015;2015-01-01;10.1007/s13762-013-0438-2;"22934732000;54987869500;57195637544";3;9;Article
"Aniceto, José P.S.;Silva, Carlos M.";Simulated moving bed strategies and designs: From established systems to the latest developments;Separation and Purification Reviews;44;1;41-73;2015;2015-01-01;10.1080/15422119.2013.851087;"54987869500;57195637544";2;40;Article
